zipcode,prop_crime_rt
98103,D
98038,A
98052,C-
98115,C
98117,C
98042,A
98034,B-
98118,D+
98023,A
98006,C
98133,C
98059,A-
98058,B+
98074,A+
98033,C+
98155,C-
98027,A-
98053,A+
98125,C-
98056,B-
98075,A+
98001,B+
98092,A-
98126,D+
98144,D-
98116,C
98106,D
98029,B+
98199,C+
98004,D-
98065,A+
98028,A+
98146,D+
98008,B-
98198,C
98122,D-
98003,D+
98031,B
98040,B+
98168,D-
98072,C+
98112,C
98055,B-
98136,B-
98107,D
98178,C-
98166,C
98030,D
98177,A
98105,D
98022,B
98045,C
98002,D+
98077,A+
98019,A+
98011,A-
98108,D-
98119,D+
98005,D
98007,B
98188,F
98032,D
98070,A-
98014,A+
98102,D
98109,D-
98010,A+
98024,A+
98148,D
98039,B-
